Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.
2093,5,5,5,0,5,5,5,0
2094,2,2,2,0,2,2,2,0
2095,5,5,5,0,5,5,5,0
2096,3,3,3,0,3,3,3,0
2097,1,1,1,0,1,1,1,0
2098,5,5,5,0,5,5,5,0
2099,3,3,3,0,3,3,3,0
2100,2,2,2,0,2,2,2,0
2101,2,2,2,0,2,2,2,0
2102,4,4,4,0,4,4,4,0
2103,4,4,4,1,4,4,4,
2104,3,3,3,1,3,3,3,
2105,5,5,5,1,5,5,5,
2106,3,3,3,1,3,3,3,
2107,1,1,1,1,1,1,1,
2108,5,5,5,1,5,5,5,
2109,5,5,5,1,5,5,5,
2110,2,2,2,1,2,2,2,
2111,1,1,1,1,1,1,1,
2112,5,5,5,1,5,5,5,
2113,2,2,2,1,2,2,2,
2114,3,3,3,1,3,3,3,
2115,5,5,5,1,5,5,5,
2116,3,3,3,1,3,3,3,
2117,5,3,4,1,5,3,4,
2118,3,4,3,1,3,4,3,
2119,4,5,2,1,4,5,2,
2120,5,3,4,1,5,3,4,
2121,2,5,1,1,2,5,1,
2122,5,2,5,1,5,2,5,
2123,1,4,3,1,1,4,3,
2124,3,3,2,1,3,3,2,
2125,5,1,3,1,5,1,3,
2126,3,5,3,1,3,5,3,
2127,5,3,4,1,5,3,4,
2128,2,2,5,1,2,2,5,
2129,4,5,3,1,4,5,3,
2130,3,4,2,1,3,4,2,
2131,1,5,1,1,1,5,1,
2132,5,4,5,1,5,4,5,
2133,2,2,4,1,2,2,4,
2134,4,5,4,1,4,5,4,
2135,5,1,5,1,5,1,5,
2136,2,4,4,1,2,4,4,
2137,5,5,1,1,5,5,1,
2138,3,3,3,1,3,3,3,
2139,1,5,5,1,1,5,5,
2140,5,4,4,1,5,4,4,
2141,3,3,2,1,3,3,2,
2142,2,3,4,1,2,3,4,
2143,2,2,3,1,2,2,3,
2144,4,5,4,1,4,5,4,
2145,4,1,2,1,4,1,2,
2146,3,4,5,1,3,4,5,
2147,5,5,4,1,5,5,4,
2148,3,3,4,1,3,3,4,
2149,1,2,5,1,1,2,5,
2150,5,5,1,1,5,5,1,
2151,5,1,2,1,5,1,2,
2152,2,3,3,1,2,3,3,
2153,1,5,4,1,1,5,4,
2154,5,4,3,1,5,4,3,
2155,2,2,4,1,2,2,4,
2156,3,3,2,1,3,3,2,
2157,5,5,5,1,5,5,5,
2158,3,3,3,1,3,3,3,
2159,4,4,4,1,4,4,4,
2160,5,5,5,1,5,5,5,
2161,2,2,2,1,2,2,2,
2162,5,5,5,1,5,5,5,
2163,1,1,1,1,1,1,1,
2164,3,3,3,1,3,3,3,1
2165,5,5,5,1,5,5,5,1
2166,3,3,3,1,3,3,3,1
2167,5,5,5,1,5,5,5,1
2168,2,2,2,1,2,2,2,1
2169,4,4,4,1,4,4,4,1
2170,3,3,3,1,3,3,3,1
2171,1,1,1,1,1,1,1,1
2172,5,5,5,1,5,5,5,1
2173,2,2,2,1,2,2,2,1
2174,4,4,4,1,4,4,4,1
2175,5,5,5,1,5,5,5,1
2176,2,2,2,1,2,2,2,1
2177,5,5,5,1,5,5,5,1
2178,3,3,3,1,3,3,3,1
2179,1,1,1,1,1,1,1,1
2180,5,5,5,1,5,5,5,1
2181,3,3,3,1,3,3,3,1
2182,2,2,2,1,2,2,2,1
2183,2,2,2,1,2,2,2,1
2184,4,4,4,1,4,4,4,1
2185,4,4,4,1,4,4,4,1
2186,3,3,3,1,3,3,3,1
2187,5,5,5,1,5,5,5,1
2188,3,3,3,1,3,3,3,1
2189,1,1,1,1,1,1,1,1
2190,5,5,5,1,5,5,5,1
2191,5,5,5,1,5,5,5,1
2192,2,2,2,1,2,2,2,1
2193,1,1,1,1,1,1,1,1
2194,5,5,5,1,5,5,5,1
2195,2,2,2,1,2,2,2,1
2196,3,3,3,1,3,3,3,
2197,5,5,5,1,5,5,5,
2198,3,3,3,1,3,3,3,
2199,4,4,4,1,4,4,4,
2200,5,5,5,1,5,5,5,
2201,2,2,2,1,2,2,2,
2202,5,5,5,1,5,5,5,
2203,1,1,1,1,1,1,1,
2204,3,3,3,1,3,3,3,
2205,5,5,5,1,5,5,5,
2206,3,3,3,1,3,3,3,
2207,5,5,5,1,5,5,5,
2208,2,2,2,1,2,2,2,
2209,4,4,4,1,4,4,4,
2210,3,3,3,1,3,3,3,
2211,1,1,1,1,1,1,1,
2212,5,5,5,1,5,5,5,
2213,2,2,2,1,2,2,2,
2214,4,4,4,1,4,4,4,
2215,5,5,5,1,5,5,5,
2216,2,2,2,1,2,2,2,
2217,5,5,5,1,5,5,5,
2218,3,3,3,1,3,3,3,
2219,1,1,1,1,1,1,1,
2220,5,5,5,1,5,5,5,1
2221,3,3,3,1,3,3,3,1
2222,2,2,2,1,2,2,2,1
2223,2,2,2,1,2,2,2,1
2224,4,4,4,1,4,4,4,1
2225,4,4,4,1,4,4,4,1
2226,3,3,3,1,3,3,3,1
2227,5,5,5,0,5,5,5,0
2228,3,3,3,1,3,3,3,1
2229,1,1,1,0,1,1,1,0
2230,5,5,5,1,5,5,5,1
2231,5,5,5,1,5,5,5,1
2232,2,2,2,0,2,2,2,0
2233,1,1,1,1,1,1,1,1
2234,5,5,5,1,5,5,5,1
2235,2,2,2,1,2,2,2,1
2236,3,3,3,1,3,3,3,1
2237,5,5,5,0,5,5,5,0
2238,3,3,3,1,3,3,3,1
2239,4,4,4,1,4,4,4,1
2240,5,5,5,1,5,5,5,1
2241,2,2,2,0,2,2,2,0
2242,5,5,5,1,5,5,5,1
2243,1,1,1,1,1,1,1,1
2244,3,3,3,1,3,3,3,1
2245,5,5,5,1,5,5,5,1
2246,3,3,3,0,3,3,3,0
2247,5,5,5,1,5,5,5,1
2248,2,2,2,1,2,2,2,1
2249,4,4,4,1,4,4,4,1
2250,3,3,3,1,3,3,3,1
2251,1,1,1,0,1,1,1,0
2252,5,5,5,1,5,5,5,1
2253,2,2,2,1,2,2,2,1
2254,4,4,4,1,4,4,4,1
2255,5,5,5,1,5,5,5,1
2256,2,2,2,1,2,2,2,1
2257,5,5,5,1,5,5,5,1
2258,3,3,3,0,3,3,3,0
2259,1,1,1,1,1,1,1,1
2260,5,5,5,1,5,5,5,1
2261,3,3,3,1,3,3,3,1
2262,2,2,2,1,2,2,2,1
2263,2,2,2,1,2,2,2,1
2264,4,4,4,1,4,4,4,1
2265,4,4,4,1,4,4,4,1
2266,3,3,3,1,3,3,3,1
2267,5,5,5,0,5,5,5,0
2268,3,3,3,1,3,3,3,1
2269,1,1,1,0,1,1,1,0
2270,5,5,5,1,5,5,5,1
2271,5,5,5,1,5,5,5,1
2272,2,2,2,0,2,2,2,0
2273,1,1,1,1,1,1,1,1
2274,5,5,5,1,5,5,5,1
2275,2,2,2,1,2,2,2,1
2276,3,3,3,1,3,3,3,1
2277,5,5,5,0,5,5,5,0
2278,3,3,3,1,3,3,3,1
2279,4,4,4,1,4,4,4,1
2280,5,5,5,1,5,5,5,1
2281,2,2,2,0,2,2,2,0
2282,5,5,5,1,5,5,5,1
2283,1,1,1,1,1,1,1,1
2284,3,3,3,1,3,3,3,1
2285,5,5,5,1,5,5,5,1
2286,3,3,3,0,3,3,3,0
2287,5,5,5,1,5,5,5,1
2288,2,2,2,1,2,2,2,1
2289,4,4,4,1,4,4,4,1
2290,3,3,3,1,3,3,3,1
2291,1,1,1,0,1,1,1,0
2292,5,5,5,1,5,5,5,1
2293,2,2,2,1,2,2,2,1
2294,4,4,4,1,4,4,4,1
2295,5,5,5,1,5,5,5,1
2296,2,2,2,1,2,2,2,1
2297,5,5,5,1,5,5,5,1
2298,3,3,3,0,3,3,3,0
2299,1,1,1,1,1,1,1,1
2300,5,5,5,1,5,5,5,1
2301,3,3,3,1,3,3,3,1
2302,2,2,2,1,2,2,2,1
2303,2,2,2,1,2,2,2,1
2304,4,4,4,1,4,4,4,1
2305,4,4,4,1,4,4,4,1
2306,3,3,3,1,3,3,3,1
2307,5,5,5,0,5,5,5,0
2308,3,3,3,1,3,3,3,1
2309,1,1,1,0,1,1,1,0
2310,5,5,5,1,5,5,5,1
2311,5,5,5,1,5,5,5,1
2312,2,2,2,0,2,2,2,0
2313,1,1,1,1,1,1,1,1
2314,5,5,5,1,5,5,5,1
2315,2,2,2,1,2,2,2,1
2316,3,3,3,1,3,3,3,1
2317,5,5,5,0,5,5,5,0
2318,3,3,3,1,3,3,3,1
2319,4,4,4,1,4,4,4,1
2320,5,5,5,1,5,5,5,1
2321,2,2,2,0,2,2,2,0
2322,5,5,5,1,5,5,5,1
2323,1,1,1,1,1,1,1,1
2324,3,3,3,1,3,3,3,1
2325,5,5,5,1,5,5,5,1
2326,3,3,3,0,3,3,3,0
2327,5,5,5,1,5,5,5,1
2328,2,2,2,1,2,2,2,1
2329,4,4,4,1,4,4,4,1
2330,3,3,3,1,3,3,3,1
2331,1,1,1,0,1,1,1,0
2332,5,5,5,1,5,5,5,1
2333,2,2,2,1,2,2,2,1
2334,4,4,4,1,4,4,4,1
2335,5,5,5,1,5,5,5,1
2336,2,2,2,1,2,2,2,1
2337,5,5,5,1,5,5,5,1
2338,3,3,3,0,3,3,3,0
2339,1,1,1,1,1,1,1,1
2340,5,5,5,1,5,5,5,1
2341,3,3,3,1,3,3,3,1
2342,2,2,2,1,2,2,2,1
2343,2,2,2,1,2,2,2,1
2344,4,4,4,1,4,4,4,1
2345,4,4,4,1,4,4,4,1
2346,3,3,3,1,3,3,3,1
2347,5,5,5,0,5,5,5,0
2348,3,3,3,1,3,3,3,1
2349,1,1,1,0,1,1,1,0
2350,5,5,5,1,5,5,5,1
2351,5,5,5,1,5,5,5,1
2352,2,2,2,0,2,2,2,0
2353,1,1,1,1,1,1,1,1
2354,5,5,5,1,5,5,5,1
2355,2,2,2,1,2,2,2,1
2356,3,3,3,1,3,3,3,1
2357,5,5,5,0,5,5,5,0
2358,3,3,3,1,3,3,3,1
2359,4,4,4,1,4,4,4,1
2360,5,5,5,1,5,5,5,1
2361,2,2,2,0,2,2,2,0
2362,5,5,5,1,5,5,5,1
2363,1,1,1,1,1,1,1,1
2364,3,3,3,1,3,3,3,1
2365,5,5,5,1,5,5,5,1
2366,3,3,3,0,3,3,3,0
2367,5,5,5,1,5,5,5,1
2368,2,2,2,1,2,2,2,1
2369,4,4,4,1,4,4,4,1
2370,3,3,3,1,3,3,3,1
2371,1,1,1,0,1,1,1,0
2372,5,5,5,1,5,5,5,1
2373,2,2,2,1,2,2,2,1
2374,4,4,4,1,4,4,4,1
2375,5,5,5,1,5,5,5,1
2376,2,2,2,1,2,2,2,1
2377,5,5,5,1,5,5,5,1
2378,3,3,3,0,3,3,3,0
2379,1,1,1,1,1,1,1,1
2380,5,5,5,1,5,5,5,1
2381,3,3,3,1,3,3,3,1
2382,2,2,2,1,2,2,2,1
2383,2,2,2,1,2,2,2,1
2384,4,4,4,1,4,4,4,1
2385,4,4,4,1,4,4,4,1
2386,3,3,3,1,3,3,3,1
2387,5,5,5,0,5,5,5,0
2388,3,3,3,1,3,3,3,1
2389,1,1,1,0,1,1,1,0
2390,5,5,5,1,5,5,5,1
2391,5,5,5,1,5,5,5,1
2392,2,2,2,0,2,2,2,0
2393,1,1,1,1,1,1,1,1
2394,5,5,5,1,5,5,5,1
2395,2,2,2,1,2,2,2,1
2396,3,3,3,1,3,3,3,1
2397,5,5,5,0,5,5,5,0
2398,3,3,3,1,3,3,3,1
2399,4,4,4,1,4,4,4,1
2400,5,5,5,1,5,5,5,1
2401,2,2,2,0,2,2,2,0
2402,5,5,5,1,5,5,5,1
2403,1,1,1,1,1,1,1,1
2404,3,3,3,1,3,3,3,1
2405,5,5,5,1,5,5,5,1
2406,3,3,3,0,3,3,3,0
2407,5,5,5,1,5,5,5,1
2408,2,2,2,1,2,2,2,1
2409,4,4,4,1,4,4,4,1
2410,3,3,3,1,3,3,3,1
2411,1,1,1,0,1,1,1,0
2412,5,5,5,1,5,5,5,1
2413,2,2,2,1,2,2,2,1
2414,4,4,4,1,4,4,4,1
2415,5,5,5,1,5,5,5,1
2416,2,2,2,1,2,2,2,1
2417,5,5,5,1,5,5,5,1
2418,3,3,3,0,3,3,3,0
2419,1,1,1,1,1,1,1,1
2420,5,5,5,1,5,5,5,1
2421,3,3,3,1,3,3,3,1
2422,2,2,2,1,2,2,2,1
2423,2,2,2,1,2,2,2,1
2424,4,4,4,1,4,4,4,1
2425,4,4,4,1,4,4,4,1
2426,3,3,3,1,3,3,3,1
2427,5,5,5,0,5,5,5,0
2428,3,3,3,1,3,3,3,1
2429,1,1,1,0,1,1,1,0
2430,5,5,5,1,5,5,5,1
2431,5,5,5,1,5,5,5,1
2432,2,2,2,0,2,2,2,0
2433,1,1,1,1,1,1,1,1
2434,5,5,5,1,5,5,5,1
2435,2,2,2,1,2,2,2,1
2436,3,3,3,1,3,3,3,1
2437,3,5,5,0,,5,5,0
2438,3,3,3,1,,3,3,1
2439,3,4,4,1,,4,4,1
2440,3,5,5,1,,5,5,1
2441,3,2,2,0,,2,2,0
2442,3,5,5,1,,5,5,1
2443,3,1,1,1,,1,1,1
2444,3,3,3,1,,3,3,1
2445,3,5,5,1,,5,5,1
2446,3,3,3,0,,3,3,0
2447,3,5,5,1,,5,5,1
2448,3,2,2,1,,2,2,1
2449,3,4,4,1,,4,4,1
2450,3,3,3,1,,3,3,1
2451,3,1,1,0,,1,1,0
2452,3,5,5,1,,5,5,1
2453,3,2,2,1,,2,2,1
2454,3,4,4,1,,4,4,1
2455,3,5,5,1,,5,5,1
2456,3,2,2,1,,2,2,1
2457,3,5,5,1,,5,5,1
2458,3,3,3,0,,3,3,0
2459,3,1,1,1,,1,1,1
2460,5,5,5,1,5,5,5,1
2461,3,3,3,1,3,3,3,1
2462,4,2,2,1,4,2,2,1
2463,5,2,2,1,5,2,2,1
2464,2,4,4,1,2,4,4,1
2465,5,4,4,1,5,4,4,1
2466,1,3,3,1,1,3,3,1
2467,3,5,5,0,3,5,5,0
2468,5,3,3,1,5,3,3,1
2469,3,1,1,0,3,1,1,0
2470,5,5,5,1,5,5,5,1
2471,2,5,5,1,2,5,5,1
2472,4,2,2,0,4,2,2,0
2473,3,1,1,1,3,1,1,1
2474,1,5,5,1,1,5,5,1
2475,5,2,2,1,5,2,2,1
2476,2,3,3,1,2,3,3,1
2477,4,3,3,0,4,,,0
2478,5,5,5,1,5,5,5,1
2479,2,3,3,1,2,3,3,1
2480,5,4,4,1,5,4,4,1
2481,3,5,5,0,3,5,5,0
2482,1,2,2,1,1,2,2,1
2483,5,5,5,1,5,5,5,1
2484,3,1,1,1,3,1,1,1
2485,2,3,3,1,2,3,3,1
2486,2,5,5,0,2,5,5,0
2487,4,3,3,1,4,3,3,1
2488,4,5,5,1,4,5,5,1
2489,3,2,2,1,3,2,2,1
2490,5,4,4,1,5,4,4,1
2491,3,3,3,0,3,3,3,0
2492,1,1,1,1,1,1,1,1
2493,5,5,5,1,5,5,5,1
2494,5,2,2,1,5,2,2,1
2495,2,4,4,1,2,4,4,1
2496,1,5,5,1,1,5,5,1
2497,5,2,2,1,5,2,2,1
2498,2,5,5,0,2,5,5,0
2499,3,3,3,1,3,3,3,1
2500,5,1,1,1,5,1,1,1
2501,3,5,5,1,3,5,5,1
2502,4,3,3,1,4,3,3,1
2503,5,2,2,1,5,2,2,1
2504,2,2,2,1,2,2,2,1
2505,5,4,4,1,5,4,4,1
2506,1,4,4,1,1,4,4,1
2507,3,3,3,0,3,3,3,0
2508,5,5,5,1,5,5,5,1
2509,3,3,3,0,3,3,3,0
2510,5,1,1,1,5,1,1,1
2511,2,5,5,1,2,5,5,1
2512,4,5,5,0,4,5,5,0
2513,3,2,2,1,3,2,2,1
2514,1,1,1,1,1,1,1,1
2515,5,5,5,1,5,5,5,1
2516,2,2,2,1,2,2,2,1
2517,4,3,3,0,4,3,3,0
2518,5,5,5,1,5,5,5,1
2519,2,3,3,1,2,3,3,1
2520,5,4,4,1,5,4,4,1
2521,3,5,5,0,3,5,5,0
2522,1,2,2,1,1,2,2,1
2523,5,5,5,1,5,5,5,1
2524,3,1,1,1,3,1,1,1
2525,2,3,3,1,2,3,3,1
2526,2,5,5,0,2,5,5,0
2527,4,3,3,1,4,3,3,1
2528,4,5,5,1,4,5,5,1
2529,3,2,2,1,3,2,2,1
2530,5,4,4,1,5,4,4,1
2531,3,3,3,0,3,3,3,0
2532,1,1,1,1,1,1,1,1
2533,5,5,5,1,5,5,5,1
2534,5,2,2,1,5,2,2,1
2535,2,4,4,1,2,4,4,1
2536,1,5,5,1,1,5,5,1
2537,5,2,2,1,5,2,2,1
2538,2,5,5,0,2,5,5,0
2539,3,3,3,1,3,3,3,1
2540,5,1,1,1,5,1,1,1
2541,3,5,5,1,3,5,5,1
2542,4,3,3,1,4,3,3,1
2543,5,2,2,1,5,2,2,1
2544,2,2,2,1,2,2,2,1
2545,5,4,4,1,5,4,4,1
2546,1,4,4,1,1,4,4,1
2547,3,3,3,0,3,3,3,0
2548,5,5,5,1,5,5,5,1
2549,3,3,3,0,3,3,3,0
2550,5,1,1,1,5,1,1,1
2551,2,5,5,1,2,5,5,1
2552,4,5,5,0,4,5,5,0
2553,3,2,2,1,3,2,2,1
2554,1,1,1,1,1,1,1,1
2555,5,5,5,1,5,5,5,1
2556,2,2,2,1,2,2,2,1
2557,4,3,3,0,4,3,3,0
2558,5,5,5,1,5,5,5,1
2559,2,3,3,1,2,3,3,1
2560,5,4,4,1,5,4,4,1
2561,3,5,5,0,3,5,5,0
2562,1,2,2,1,1,2,2,1
2563,5,5,5,1,5,5,5,1
2564,3,1,1,1,3,1,1,1
2565,2,3,3,1,2,3,3,1
2566,2,5,5,0,2,5,5,0
2567,4,3,3,1,4,3,3,1
2568,4,5,5,1,4,5,5,1
2569,3,2,2,1,3,2,2,1
2570,5,4,4,1,5,4,4,1
2571,3,3,3,0,3,3,3,0
2572,1,1,1,1,1,1,1,1
2573,5,5,5,1,5,5,5,1
2574,5,2,2,1,5,2,2,1
2575,2,4,4,1,2,4,4,1
2576,1,5,5,1,1,5,5,1
2577,5,2,2,1,5,2,2,1
2578,2,5,5,0,2,5,5,0
2579,3,3,3,1,3,3,3,1
2580,5,1,1,1,5,1,1,1
2581,3,5,5,1,3,5,5,1
2582,4,3,3,1,4,3,3,1
2583,5,2,2,1,5,2,2,1
2584,2,2,2,1,2,2,2,1
2585,5,4,4,1,5,4,4,1
2586,1,4,4,1,1,4,4,1
2587,3,3,3,0,3,3,3,0
2588,5,5,5,1,5,5,5,1
2589,3,3,3,0,3,3,3,0
2590,5,1,1,1,5,1,1,1
2591,2,5,5,1,2,5,5,1
2592,4,5,5,0,4,5,5,0
2593,3,2,2,1,3,2,2,1
2594,1,1,1,1,1,1,1,1
2595,5,5,5,1,5,5,5,1
2596,2,2,2,1,2,2,2,1
2597,4,3,3,0,4,3,3,0
2598,5,5,5,1,5,5,5,1
2599,2,3,3,1,2,3,3,1
2600,5,4,4,1,5,4,4,1
2601,3,5,5,0,3,5,5,0
2602,1,2,2,1,1,2,2,1
2603,5,5,5,1,5,5,5,1
2604,3,1,1,1,3,1,1,1
2605,2,3,3,1,2,3,3,1
2606,2,5,5,0,2,5,5,0
2607,4,3,3,1,4,3,3,1
2608,4,5,5,1,4,5,5,1
2609,3,2,2,1,3,2,2,1
2610,5,4,4,1,5,4,4,1
2611,3,3,3,0,3,3,3,0
2612,1,1,1,1,1,1,1,1
2613,5,5,5,1,5,5,5,1
2614,5,2,2,1,5,2,2,1
2615,2,4,4,1,2,4,4,1
2616,1,5,5,1,1,5,5,1
2617,5,2,2,1,5,2,2,1
2618,2,5,5,0,2,5,5,0
2619,3,3,3,1,3,3,3,1
2620,3,1,1,1,,1,1,
2621,5,5,5,1,5,5,5,
2622,3,3,3,1,3,3,3,
2623,4,2,2,1,4,2,2,
2624,5,2,2,1,5,2,2,
2625,2,4,4,1,2,4,4,
2626,5,4,4,1,5,4,4,
2627,1,3,3,1,1,3,3,
2628,3,5,5,1,3,5,5,
2629,5,3,3,1,5,3,3,
2630,3,1,1,1,3,1,1,
2631,5,5,5,1,5,5,5,
2632,2,5,5,1,2,5,5,
2633,4,2,2,1,4,2,2,
2634,3,1,1,1,3,1,1,
2635,1,5,5,1,1,5,5,
2636,5,2,2,1,5,2,2,
2637,2,3,3,1,2,3,3,
2638,4,3,3,1,4,,,
2639,5,3,3,1,5,,,
2640,2,3,3,1,2,,,
2641,5,3,3,1,5,,,
2642,3,3,3,1,3,,,
2643,1,3,3,1,1,,,
2644,5,3,3,1,5,,,
2645,3,3,3,1,3,,,
2646,2,3,3,1,2,,,
2647,2,3,3,1,2,,,
2648,4,3,3,1,4,,,
2649,4,3,3,1,4,,,
2650,3,3,5,1,3,,5,
2651,5,3,3,1,5,,3,
2652,3,5,4,1,3,5,4,
2653,1,3,5,1,1,3,5,
2654,5,4,2,1,5,4,2,
2655,5,5,5,1,5,5,5,
2656,2,2,1,1,2,2,1,
2657,1,5,3,1,1,5,3,
2658,5,1,5,1,5,1,5,
2659,2,3,3,1,2,3,3,
2660,3,5,5,1,3,5,5,
2661,5,3,2,1,5,3,2,
2662,3,5,4,1,3,5,4,
2663,4,2,3,1,4,2,3,
2664,5,4,1,1,5,4,1,
2665,2,3,5,1,2,3,5,
2666,5,1,2,1,5,1,2,
2667,1,5,4,1,1,5,4,
2668,3,2,5,1,3,2,5,
2669,5,4,2,1,5,4,2,
2670,3,5,5,1,3,5,5,
2671,5,2,3,1,5,2,3,
2672,2,5,1,1,2,5,1,
2673,4,3,5,1,4,3,5,
2674,3,1,3,1,3,1,3,
2675,1,5,2,1,1,5,2,
2676,5,3,2,1,5,3,2,
2677,2,2,4,1,2,2,4,
2678,4,2,4,1,4,2,4,
2679,5,4,3,1,5,4,3,
2680,2,4,5,1,2,4,5,
2681,5,3,3,1,5,3,3,
2682,3,5,1,1,3,5,1,
2683,1,3,5,1,1,3,5,
2684,5,1,5,1,5,1,5,
2685,3,5,2,1,3,5,2,
2686,2,5,1,1,2,5,1,
2687,2,2,5,1,2,2,5,
2688,4,1,2,1,4,1,2,
2689,4,5,3,1,4,5,3,
2690,3,2,5,1,3,2,5,
2691,5,3,3,1,5,3,3,
2692,3,5,4,1,3,5,4,
2693,1,3,5,1,1,3,5,
2694,5,4,2,1,5,4,2,
2695,5,5,5,1,5,5,5,
2696,2,2,1,1,2,2,1,
2697,1,5,3,1,1,5,3,
2698,5,1,5,1,5,1,5,
2699,2,3,3,1,2,3,3,
2700,3,5,5,1,3,5,5,
2701,5,3,2,1,5,3,2,
2702,3,5,4,1,3,5,4,
2703,4,2,3,1,4,2,3,1
2704,5,4,1,1,5,4,1,1
2705,2,3,5,1,2,3,5,1
2706,5,1,2,1,5,1,2,1
2707,1,5,4,1,1,5,4,1
2708,3,2,5,1,3,2,5,1
2709,5,4,2,1,5,4,2,1
2710,3,5,5,0,3,5,5,0
2711,5,2,3,1,5,2,3,1
2712,2,5,1,0,2,5,1,0
2713,4,3,5,1,4,3,5,1
2714,3,1,3,1,3,1,3,1
2715,1,5,2,0,1,5,2,0
2716,5,3,2,1,5,3,2,1
2717,2,2,4,1,2,2,4,1
2718,4,2,4,1,4,2,4,1
2719,5,4,3,1,5,4,3,1
2720,2,4,5,0,2,4,5,0
2721,5,3,3,1,5,3,3,1
2722,3,5,1,1,3,5,1,1
2723,1,3,5,1,1,3,5,1
2724,5,1,5,0,5,1,5,0
2725,3,5,2,1,3,5,2,1
2726,2,5,1,1,2,5,1,1
2727,2,2,5,1,2,2,5,1
2728,4,1,2,1,4,1,2,1
2729,4,5,3,0,4,5,3,0
2730,3,2,5,1,3,2,5,1
2731,5,3,3,1,5,3,3,1
2732,3,5,4,1,3,5,4,1
2733,1,3,5,1,1,3,5,1
2734,5,4,2,0,5,4,2,0
2735,5,5,5,1,5,5,5,1
2736,2,2,1,1,2,2,1,1
2737,1,5,3,1,1,5,3,1
2738,5,1,5,1,5,1,5,1
2739,2,3,3,1,2,3,3,1
2740,3,5,5,1,3,5,5,1
2741,5,3,2,0,5,3,2,0
2742,3,5,4,1,3,5,4,1
2743,4,2,3,1,4,2,3,1
2744,5,4,1,1,5,4,1,1
2745,2,3,5,1,2,3,5,1
2746,5,1,2,1,5,1,2,1
2747,1,5,4,1,1,5,4,1
2748,3,2,5,1,3,2,5,1
2749,5,4,2,1,5,4,2,1
2750,3,5,5,0,3,5,5,0
2751,5,2,3,1,5,2,3,1
2752,2,5,1,0,2,5,1,0
2753,4,3,5,1,4,3,5,1
2754,3,1,3,1,3,1,3,1
2755,1,5,2,0,1,5,2,0
2756,5,3,2,1,5,3,2,1
2757,2,2,4,1,2,2,4,1
2758,4,2,4,1,4,2,4,1
2759,5,4,3,1,5,4,3,1
2760,2,4,5,0,2,4,5,0
2761,5,3,3,1,5,3,3,1
2762,3,5,1,1,3,5,1,1
2763,1,3,5,1,1,3,5,1
2764,5,1,5,0,5,1,5,0
2765,3,5,2,1,3,5,2,1
2766,2,5,1,1,2,5,1,1
2767,2,2,5,1,2,2,5,1
2768,4,1,2,1,4,1,2,1
2769,4,5,3,0,4,5,3,0
2770,3,2,5,1,3,2,5,1
2771,5,3,3,1,5,3,3,1
2772,3,5,4,1,3,5,4,1
2773,1,3,5,1,1,3,5,1
2774,5,4,2,0,5,4,2,0
2775,5,5,5,1,5,5,5,1
2776,2,2,1,1,2,2,1,1
2777,1,5,3,1,1,5,3,1
2778,5,1,5,1,5,1,5,1
2779,2,3,3,1,2,3,3,1
2780,3,5,5,1,3,5,5,1
2781,3,3,2,0,,3,2,0
2782,5,5,4,1,5,5,4,1
2783,3,2,3,1,3,2,3,1
2784,4,4,1,1,4,4,1,1
2785,5,3,5,1,5,3,5,1
2786,2,1,2,1,2,1,2,1
2787,5,5,4,1,5,5,4,1
2788,1,2,5,1,1,2,5,1
2789,3,4,2,1,3,4,2,1
2790,5,5,5,0,5,5,5,0
2791,3,2,3,1,3,2,3,1
2792,5,5,1,0,5,5,1,0
2793,2,3,5,1,2,3,5,1
2794,4,1,3,1,4,1,3,1
2795,3,5,2,0,3,5,2,0
2796,1,3,2,1,1,3,2,1
2797,5,2,4,1,5,2,4,1
2798,2,2,4,1,2,2,4,1
2799,4,4,3,1,4,4,3,1
2800,5,4,5,0,5,4,5,0
2801,2,3,3,1,2,3,3,1
2802,5,5,1,1,5,5,1,1
2803,3,3,5,1,3,3,5,1
2804,1,1,5,0,1,1,5,0
2805,5,5,2,1,5,5,2,1
2806,3,5,1,1,3,5,1,1
2807,2,2,5,1,2,2,5,1
2808,2,1,2,1,2,1,2,1
2809,4,5,3,0,4,5,3,0
2810,4,2,3,1,4,2,,1
2811,3,3,3,1,3,3,,1
2812,5,3,3,1,5,,,1
2813,3,3,3,1,3,,,1
2814,1,3,3,0,1,,,0
2815,4,4,4,1,4,4,4,1
2816,3,3,3,1,3,3,3,1
2817,1,1,1,1,1,1,1,1
2818,5,5,5,1,5,5,5,1
2819,2,2,2,1,2,2,2,1
2820,4,4,4,1,4,4,4,1
2821,5,5,5,0,5,5,5,0
